"","sp_code","elevation","season","plant_group","species","shape_upd","symmetry","flower_pos","anther_pos","odour","brightness","colour","nectar_guides","size","tube_length","volume","concentration","sugar_amount","glucose","fructose","saccharose","d","shape_upd_num","symmetry_num","flower_pos_num","anther_pos_num","odour_num","brightness_num","nectar_guides_num","R","G","B","brown","green","orange","pink","purple","red","white","yellow"
"NEPPOI_650_DRY","NEPPOI",650,"DRY","Herb","Nephthytis poissonii","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.17525,0,NA,NA,0.00243076923076923,NA,NA,NA,0.107041130960436,1,0,1,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"ONCDEN_650_DRY","ONCDEN",650,"DRY","Shrub","Oncoba dentata","Open","Actinomorphic","All","Exposed","Strong ","Vivid","White","Absent",1.952,0,NA,NA,0.00466153846153846,0.445376699324068,0.530430875167717,0.024192425508215,0.579215514936935,1,0,0,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"ONCMAN_650_DRY","ONCMAN",650,"DRY","Tree","Oncoba mannii","Open","Actinomorphic","Upright","Exposed","Strong ","Vivid","White","Absent",4.728,0,NA,NA,NA,NA,NA,NA,0.722651001843039,1,0,0.5,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"PALBAR_650_DRY","PALBAR",650,"DRY","Herb","Palisota barteri","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.912285714285714,0,NA,NA,0.000891265154598488,0.290983606557377,0.245901639344262,0.463114754098361,0.259076777369443,1,0,1,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"PARZEN_650_DRY","PARZEN",650,"DRY","Climber","Pararistolochia zenkeri","Trumpet","Actinomorphic","Horizontal","Hidden","Weak-No","Drab","Brown","Absent",5.1534,5.1604,NA,NA,0.0300925925925926,0.357854029908019,0.605812381414957,0.0363335886770245,0.456504930795973,0,0,1,0,0,0,0,165,42,42,1,0,0,0,0,0,0,0
"PAVNEU_650_DRY","PAVNEU",650,"DRY","Shrub","Pavetta neurocarpa","Salverform","Actinomorphic","Upright","Exposed","Strong ","Vivid","White","Absent",2.3064,0.8162,0.769348967657238,23.6785714285714,0.185071148787455,0.235478733760999,0.184460342864213,0.580060923374788,0.230614293772997,0,0,0.5,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"PAVRIG_650_DRY","PAVRIG",650,"DRY","Shrub","Pavetta rigida","Salverform","Actinomorphic","Upright","Exposed","Weak-No","Vivid","White","Absent",2.5618,1.6306,4.47714681440443,12.3578947368421,0.562755545934326,0.268331560579496,0.280015291617567,0.451653147802938,0.239111695152442,0,0,0.5,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"PREKAM_650_DRY","PREKAM",650,"DRY","Epiphyte","Preussiella kamerunensis","Dish","Actinomorphic","Upright","Partially exposed","Weak-No","Vivid","Pink","Absent",2.02314285714286,0,2.76315789473684,23,0.280846554111842,NA,NA,NA,0.429361435522791,1,0,0.5,0.5,0,1,0,255,192,203,0,0,0,1,0,0,0,0
"PSYBIF_650_DRY","PSYBIF",650,"DRY","Shrub","Psychotria bifaria","Bell","Actinomorphic","Upright","Exposed","Weak-No","Drab","White","Absent",0.4438,0.3884,NA,NA,0.0372983333333333,0.387938404051158,0.3925706639293,0.219490932019543,0.29968567873047,0,0,0.5,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"PSYMAN_650_DRY","PSYMAN",650,"DRY","Shrub","Psychotria mannii","Bell","Actinomorphic","Upright","Partially exposed","Weak-No","Drab","White","Absent",0.3136,0.1342,NA,NA,0.115757638888889,0.378625567094326,0.350727030272634,0.27064740263304,0.108575588095836,0,0,0.5,0.5,0,0,0,255,255,255,0,0,0,0,0,0,1,0
